@relation test

@attribute id {ID12101,ID12102,ID12103,ID12104,ID12105,ID12106,ID12107,ID12108,ID12109,ID12110,ID12111,ID12112,ID12113,ID12114,ID12115,ID12116,ID12117,ID12118,ID12119,ID12120,ID12121,ID12122,ID12123,ID12124,ID12125,ID12126,ID12127,ID12128,ID12129,ID12130,ID12131,ID12132,ID12133,ID12134,ID12135,ID12136,ID12137,ID12138,ID12139,ID12140,ID12141,ID12142,ID12143,ID12144,ID12145,ID12146,ID12147,ID12148,ID12149,ID12150,ID12151,ID12152,ID12153,ID12154,ID12155,ID12156,ID12157,ID12158,ID12159,ID12160,ID12161,ID12162,ID12163,ID12164,ID12165,ID12166,ID12167,ID12168,ID12169,ID12170,ID12171,ID12172,ID12173,ID12174,ID12175,ID12176,ID12177,ID12178,ID12179,ID12180,ID12181,ID12182,ID12183,ID12184,ID12185,ID12186,ID12187,ID12188,ID12189,ID12190,ID12191,ID12192,ID12193,ID12194,ID12195,ID12196,ID12197,ID12198,ID12199,ID12200,ID12201,ID12202,ID12203,ID12204,ID12205,ID12206,ID12207,ID12208,ID12209,ID12210,ID12211,ID12212,ID12213,ID12214,ID12215,ID12216,ID12217,ID12218,ID12219,ID12220,ID12221,ID12222,ID12223,ID12224,ID12225,ID12226,ID12227,ID12228,ID12229,ID12230,ID12231,ID12232,ID12233,ID12234,ID12235,ID12236,ID12237,ID12238,ID12239,ID12240,ID12241,ID12242,ID12243,ID12244,ID12245,ID12246,ID12247,ID12248,ID12249,ID12250,ID12251,ID12252,ID12253,ID12254,ID12255,ID12256,ID12257,ID12258,ID12259,ID12260,ID12261,ID12262,ID12263,ID12264,ID12265,ID12266,ID12267,ID12268,ID12269,ID12270,ID12271,ID12272,ID12273,ID12274,ID12275,ID12276,ID12277,ID12278,ID12279,ID12280,ID12281,ID12282,ID12283,ID12284,ID12285,ID12286,ID12287,ID12288,ID12289,ID12290,ID12291,ID12292,ID12293,ID12294,ID12295,ID12296,ID12297,ID12298,ID12299,ID12300,ID12301,ID12302,ID12303,ID12304,ID12305,ID12306,ID12307,ID12308,ID12309,ID12310,ID12311,ID12312,ID12313,ID12314,ID12315,ID12316,ID12317,ID12318,ID12319,ID12320,ID12321,ID12322,ID12323,ID12324,ID12325,ID12326,ID12327,ID12328,ID12329,ID12330,ID12331,ID12332,ID12333,ID12334,ID12335,ID12336,ID12337,ID12338,ID12339,ID12340,ID12341,ID12342,ID12343,ID12344,ID12345,ID12346,ID12347,ID12348,ID12349,ID12350,ID12351,ID12352,ID12353,ID12354,ID12355,ID12356,ID12357,ID12358,ID12359,ID12360,ID12361,ID12362,ID12363,ID12364,ID12365,ID12366,ID12367,ID12368,ID12369,ID12370,ID12371,ID12372,ID12373,ID12374,ID12375,ID12376,ID12377,ID12378,ID12379,ID12380,ID12381,ID12382,ID12383,ID12384,ID12385,ID12386,ID12387,ID12388,ID12389,ID12390,ID12391,ID12392,ID12393,ID12394,ID12395,ID12396,ID12397,ID12398,ID12399,ID12400,ID12401,ID12402,ID12403,ID12404,ID12405,ID12406,ID12407,ID12408,ID12409,ID12410,ID12411,ID12412,ID12413,ID12414,ID12415,ID12416,ID12417,ID12418,ID12419,ID12420,ID12421,ID12422,ID12423,ID12424,ID12425,ID12426,ID12427,ID12428,ID12429,ID12430,ID12431,ID12432,ID12433,ID12434,ID12435,ID12436,ID12437,ID12438,ID12439,ID12440,ID12441,ID12442,ID12443,ID12444,ID12445,ID12446,ID12447,ID12448,ID12449,ID12450,ID12451,ID12452,ID12453,ID12454,ID12455,ID12456,ID12457,ID12458,ID12459,ID12460,ID12461,ID12462,ID12463,ID12464,ID12465,ID12466,ID12467,ID12468,ID12469,ID12470,ID12471,ID12472,ID12473,ID12474,ID12475,ID12476,ID12477,ID12478,ID12479,ID12480,ID12481,ID12482,ID12483,ID12484,ID12485,ID12486,ID12487,ID12488,ID12489,ID12490,ID12491,ID12492,ID12493,ID12494,ID12495,ID12496,ID12497,ID12498,ID12499,ID12500,ID12501,ID12502,ID12503,ID12504,ID12505,ID12506,ID12507,ID12508,ID12509,ID12510,ID12511,ID12512,ID12513,ID12514,ID12515,ID12516,ID12517,ID12518,ID12519,ID12520,ID12521,ID12522,ID12523,ID12524,ID12525,ID12526,ID12527,ID12528,ID12529,ID12530,ID12531,ID12532,ID12533,ID12534,ID12535,ID12536,ID12537,ID12538,ID12539,ID12540,ID12541,ID12542,ID12543,ID12544,ID12545,ID12546,ID12547,ID12548,ID12549,ID12550,ID12551,ID12552,ID12553,ID12554,ID12555,ID12556,ID12557,ID12558,ID12559,ID12560,ID12561,ID12562,ID12563,ID12564,ID12565,ID12566,ID12567,ID12568,ID12569,ID12570,ID12571,ID12572,ID12573,ID12574,ID12575,ID12576,ID12577,ID12578,ID12579,ID12580,ID12581,ID12582,ID12583,ID12584,ID12585,ID12586,ID12587,ID12588,ID12589,ID12590,ID12591,ID12592,ID12593,ID12594,ID12595,ID12596,ID12597,ID12598,ID12599,ID12600,ID12601,ID12602,ID12603,ID12604,ID12605,ID12606,ID12607,ID12608,ID12609,ID12610,ID12611,ID12612,ID12613,ID12614,ID12615,ID12616,ID12617,ID12618,ID12619,ID12620,ID12621,ID12622,ID12623,ID12624,ID12625,ID12626,ID12627,ID12628,ID12629,ID12630,ID12631,ID12632,ID12633,ID12634,ID12635,ID12636,ID12637,ID12638,ID12639,ID12640,ID12641,ID12642,ID12643,ID12644,ID12645,ID12646,ID12647,ID12648,ID12649,ID12650,ID12651,ID12652,ID12653,ID12654,ID12655,ID12656,ID12657,ID12658,ID12659,ID12660,ID12661,ID12662,ID12663,ID12664,ID12665,ID12666,ID12667,ID12668,ID12669,ID12670,ID12671,ID12672,ID12673,ID12674,ID12675,ID12676,ID12677,ID12678,ID12679,ID12680,ID12681,ID12682,ID12683,ID12684,ID12685,ID12686,ID12687,ID12688,ID12689,ID12690,ID12691,ID12692,ID12693,ID12694,ID12695,ID12696,ID12697,ID12698,ID12699,ID12700}
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data

ID12501,34,FEMALE,RURAL,19481.3,NO,0,NO,NO,YES,YES,YES
ID12502,26,MALE,RURAL,19563.8,NO,3,YES,NO,NO,YES,NO
ID12503,48,MALE,INNER_CITY,38598.4,YES,0,YES,NO,YES,NO,NO
ID12504,35,MALE,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,YES
ID12505,24,FEMALE,INNER_CITY,13864.6,YES,3,NO,YES,YES,NO,YES
ID12506,47,MALE,SUBURBAN,36599,YES,3,YES,YES,YES,NO,YES
ID12507,52,MALE,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,YES
ID12508,31,MALE,SUBURBAN,22362.3,NO,0,NO,YES,YES,NO,YES
ID12509,41,FEMALE,SUBURBAN,21984,YES,1,YES,NO,NO,NO,YES
ID12510,23,MALE,SUBURBAN,11073,YES,2,NO,YES,NO,NO,NO
ID12511,27,FEMALE,INNER_CITY,18158.5,NO,1,YES,NO,YES,YES,YES
ID12512,22,MALE,INNER_CITY,7304.2,NO,0,YES,YES,YES,YES,NO
ID12513,67,FEMALE,INNER_CITY,58092,NO,2,YES,YES,YES,NO,YES
ID12514,26,FEMALE,INNER_CITY,16518.6,YES,0,YES,NO,YES,NO,YES
ID12515,58,FEMALE,SUBURBAN,46461.5,YES,0,NO,YES,YES,NO,NO
ID12516,27,MALE,RURAL,20058.7,YES,0,NO,YES,YES,YES,NO
ID12517,36,MALE,INNER_CITY,12533.2,NO,1,NO,YES,NO,YES,NO
ID12518,31,MALE,RURAL,22848.5,YES,1,YES,NO,NO,NO,YES
ID12519,28,FEMALE,TOWN,25699.4,YES,2,YES,YES,NO,NO,YES
ID12520,57,MALE,TOWN,21612.6,YES,0,NO,YES,YES,YES,NO
ID12521,64,MALE,INNER_CITY,48950.9,YES,0,YES,YES,YES,YES,NO
ID12522,49,MALE,INNER_CITY,41438,NO,1,NO,YES,NO,NO,YES
ID12523,22,MALE,INNER_CITY,11411,YES,1,YES,NO,YES,NO,NO
ID12524,58,FEMALE,INNER_CITY,43940.6,YES,0,YES,YES,YES,NO,NO
ID12525,20,MALE,TOWN,17239.5,NO,1,YES,NO,YES,NO,YES
ID12526,44,FEMALE,RURAL,30488.7,YES,0,NO,YES,YES,NO,NO
ID12527,65,FEMALE,TOWN,29866.3,YES,3,NO,YES,NO,NO,NO
ID12528,53,FEMALE,INNER_CITY,32184.4,YES,2,YES,NO,NO,NO,YES
ID12529,34,FEMALE,INNER_CITY,17308.7,YES,1,YES,NO,YES,YES,YES
ID12530,35,MALE,RURAL,27863.9,NO,2,NO,YES,YES,YES,NO
ID12531,48,MALE,TOWN,28920.6,YES,0,NO,YES,NO,YES,NO
ID12532,64,FEMALE,TOWN,58367.3,YES,1,YES,YES,YES,NO,YES
ID12533,46,MALE,TOWN,16849.3,NO,0,YES,YES,YES,YES,NO
ID12534,42,FEMALE,RURAL,28138.5,YES,0,NO,NO,YES,YES,YES
ID12535,47,MALE,INNER_CITY,23038.2,YES,0,YES,YES,NO,NO,NO
ID12536,23,MALE,TOWN,11736.9,NO,2,YES,YES,YES,YES,NO
ID12537,35,MALE,INNER_CITY,16479.5,YES,0,YES,NO,NO,YES,YES
ID12538,64,FEMALE,INNER_CITY,31415.7,NO,1,YES,YES,NO,YES,YES
ID12539,18,FEMALE,SUBURBAN,12117.3,YES,1,NO,NO,YES,NO,NO
ID12540,19,MALE,INNER_CITY,15417.1,YES,1,YES,NO,YES,NO,NO
ID12541,40,MALE,INNER_CITY,29414.6,YES,1,NO,YES,NO,YES,YES
ID12542,47,MALE,INNER_CITY,44682.1,YES,0,YES,YES,YES,NO,NO
ID12543,43,FEMALE,RURAL,36281,YES,0,YES,YES,YES,NO,NO
ID12544,38,MALE,TOWN,33302.8,NO,0,YES,NO,YES,YES,YES
ID12545,21,FEMALE,RURAL,15797.1,YES,0,NO,YES,YES,NO,YES
ID12546,40,MALE,RURAL,31864.8,YES,0,YES,YES,YES,NO,NO
ID12547,52,FEMALE,TOWN,43719.5,YES,0,NO,YES,YES,NO,NO
ID12548,35,FEMALE,TOWN,30799.5,YES,2,NO,NO,YES,NO,YES
ID12549,53,MALE,RURAL,48971.6,YES,3,YES,YES,NO,NO,YES
ID12550,38,FEMALE,RURAL,34061.4,NO,0,YES,YES,YES,NO,YES
ID12551,42,MALE,INNER_CITY,28938.6,YES,3,YES,NO,NO,NO,NO
ID12552,43,MALE,TOWN,38540,NO,0,YES,YES,NO,YES,NO
ID12553,59,FEMALE,INNER_CITY,27045.1,NO,0,NO,NO,YES,NO,YES
ID12554,59,FEMALE,RURAL,51284.3,NO,0,YES,YES,YES,YES,NO
ID12555,24,MALE,INNER_CITY,16352.2,NO,0,NO,YES,YES,YES,NO
ID12556,27,FEMALE,INNER_CITY,11866.4,YES,0,YES,YES,YES,NO,NO
ID12557,32,FEMALE,TOWN,13267.6,YES,0,YES,YES,YES,YES,NO
ID12558,65,FEMALE,INNER_CITY,61554.6,YES,0,NO,YES,YES,NO,NO
ID12559,18,MALE,SUBURBAN,13700.2,NO,1,NO,YES,YES,NO,NO
ID12560,66,MALE,TOWN,46963.9,YES,1,NO,YES,YES,NO,YES
ID12561,41,MALE,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,YES
ID12562,64,FEMALE,SUBURBAN,24554.1,YES,0,YES,YES,NO,YES,NO
ID12563,23,FEMALE,INNER_CITY,18050,YES,0,YES,NO,YES,YES,YES
ID12564,29,FEMALE,RURAL,15237.6,YES,2,YES,NO,YES,NO,NO
ID12565,28,MALE,TOWN,20555,NO,0,YES,YES,YES,NO,YES
ID12566,57,FEMALE,TOWN,28421.7,YES,2,YES,YES,YES,YES,NO
ID12567,38,MALE,INNER_CITY,21876.5,YES,0,NO,NO,YES,NO,NO
ID12568,34,FEMALE,SUBURBAN,12810.2,NO,3,NO,YES,YES,NO,YES
ID12569,43,MALE,SUBURBAN,15109.4,YES,0,NO,NO,YES,NO,YES
ID12570,63,MALE,TOWN,37414.7,NO,3,YES,YES,YES,NO,NO
ID12571,62,FEMALE,INNER_CITY,41521.6,YES,0,NO,YES,YES,YES,NO
ID12572,51,FEMALE,INNER_CITY,25372.8,YES,0,YES,YES,YES,NO,NO
ID12573,61,MALE,INNER_CITY,21139.8,YES,2,YES,YES,NO,NO,NO
